party,sentence
EELV,"NOUS SOMMES DES MILLIONS À VOULOIR UNE SOCIÉTÉ PLUS JUSTE, PLUS ÉCOLOGIQUE, PLUS SOLIDAIRE."
EELV,"ENSEMBLE, NOUS ALLONS SAUVER LE CLIMAT."
EELV,LE TEMPS EST VENU.
EELV,Nous avons droit au bonheur.
EELV,Nous avons le droit de vouloir le meilleur pour celles et ceux que nous aimons.
EELV,Personne ne nous empêchera de sauver la planète.
EELV,"Ni le monde de l’argent, ni les lobbies, ni une classe politique dépassée par les enjeux de l’urgence climatique."
EELV,Les élections européennes à venir ne seront pas des élections comme les autres.
EELV,Le moment est venu de faire le bon choix.
EELV,"Nous avons le choix entre le sursaut ou la catastrophe, entre la solidarité ou la montée de la haine, entre l’invention d’une nouvelle manière de vivre ensemble ou la continuation des égoïsmes qui détruisent le lien social."
EELV,"Face à Trump, Poutine, Bolsonaro et Xi Jinping, il faut absolument que l’Europe construise une alternative."
EELV,"Nous ne pouvons donc pas laisser l’Europe se perdre aux mains des libéraux ou être détruite par les nationalistes comme Le Pen, Orbán ou Salvini."
EELV,Les marches pour le climat montrent que la prise de conscience progresse enfin.
EELV,Une nouvelle génération réclame son droit à exister dans un monde vivable.
EELV,Comment ne pas entendre son appel ?
EELV,La génération climat qui se met en mouvement est celle qui sauvegardera l’avenir.
EELV,Notre responsabilité est de nous tenir à ses côtés.
EELV,Notre combat est planétaire.
EELV,Chacun.e doit prendre sa part.
EELV,"CETTE FOIS, VOTRE BULLETIN DE VOTE PEUT VRAIMENT FAIRE LA DIFFÉRENCE."
EELV,Le temps est venu d’en finir avec ce vieux monde destructeur et de mettre enfin l’écologie au cœur du paysage politique européen.
EELV,"L’écologie doit devenir la matrice qui transforme l’économie, l’aménagement du territoire, la démocratie, au service d’un grand projet de justice sociale, de solidarité et d’égalité des droits."
EELV,Le temps est venu d’une Europe sans glyphosate ni pesticides.
EELV,"D’une Europe du climat, 100% renouvelable, sans charbon ni nucléaire."
EELV,"D’une Europe des transports du quotidien, sans diesel."
EELV,"D’une Europe des océans débarrassés du plastique, des marées noires et de la pêche industrielle."
EELV,"Ainsi, nous créerons des millions d’emplois de qualité avec la transition écologique."
EELV,"Le temps est venu de respecter le vivant, de condamner les écocides, de défendre les droits de la nature, de garantir à tout le monde une alimentation de qualité."
EELV,"Le temps est venu d’une Union qui défende les droits des femmes, accueille dignement les personnes migrantes et soit enfin plus démocratique."
EELV,"Ainsi, nous en finirons avec la brutalité du libéralisme pour laisser place à une société du bien vivre, nous balaierons la haine par l’ouverture au monde."
EELV,"Cette Europe, nous n’allons pas la rêver."
EELV,Nous allons la construire.
EELV,Tout commence avec vous.
EELV,"Cette fois, votre bulletin de vote peut vraiment faire la différence."
EELV,"Ensemble, nous pouvons tout changer."
EELV,ADOPTONS UN TRAITÉ ENVIRONNEMENTAL ET PROMOUVONS LE PROTECTIONNISME VERT POUR FAIRE DE L’ÉCOLOGIE LA PRIORITÉ DE L’EUROPE.
EELV,DÉVELOPPONS UN PLAN D’INVESTISSEMENT MASSIF POUR CRÉER DES EMPLOIS NON DÉLOCALISABLES ET SAUVER LE CLIMAT.
EELV,SORTONS LES PARADIS FISCAUX DE L’EUROPE ET REMETTONS LA FINANCE À SA PLACE POUR LA JUSTICE SOCIALE.
EELV,DÉFENDONS UNE AGRICULTURE 100% BIO POUR PROTÉGER LES TERROIRS ET LA QUALITÉ DE NOTRE ALIMENTATION.
EELV,GÉNÉRALISONS UNE OPTION VÉGÉTARIENNE DANS LA RESTAURATION COLLECTIVE EUROPÉENNE POUR SORTIR DE LA SUREXPLOITATION ANIMALE.
EELV,FINISSONS-EN AVEC LE POUVOIR DESTRUCTEUR DES LOBBIES POUR RENDRE L’EUROPE ET SES INSTITUTIONS AUX CITOYENNES ET CITOYENS.
EELV,"RESPECTONS LES DIFFÉRENTS TERRITOIRES, LEURS LANGUES, LEURS CULTURES ET DÉPASSONS L’EUROPE DES ÉTATS-NATIONS."
EELV,ACCUEILLONS DIGNEMENT LES PERSONNES MIGRANTES POUR METTRE LA SOLIDARITÉ AU CŒUR DU PROJET EUROPÉEN.
EELV,METTONS FIN AUX INÉGALITÉS SALARIALES ET GARANTISSONS LES DROITS DES FEMMES POUR ÉCRIRE UNE NOUVELLE PAGE DU PROGRÈS SOCIAL.
EELV,RECONNAISSONS LE DROIT DE VOTE À 16 ANS ET CRÉONS UNE ALLOCATION JEUNESSE DIRECTE POUR MIEUX PRÉSERVER L’AVENIR.
FI,"LE 26 MAI, UN SEUL TOUR UN SEUL BULLETIN DE VOTE."
FI,Pour dire stop à Macron.
FI,"Emmanuel Macron mène une politique en faveur des ultrariches depuis son élection (suppression de l’ISF, hausse de la CSG, etc.) et nous en fait payer le prix à toutes et tous."
FI,"Avec ces élections, mettons un coup d’arrêt à sa politique et empêchons-le de détruire notre modèle social et notamment notre système de retraites."
FI,"Pour nos vies et le climat, des parlementaires de combat."
